"Female_1","Female_2","Female_3","Male_1","Male_2","Male_3","ENSEMBL_ID","MGI_symbol","Description"
2419,2065,1947,3189,3349,2666,"ENSMUSG00000000001","Gnai3","guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]"
96,103,51,99,96,91,"ENSMUSG00000000028","Cdc45","cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]"
43,56,67,57,83,30,"ENSMUSG00000000037","Scml2","Scm polycomb group protein like 2 [Source:MGI Symbol;Acc:MGI:1340042]"
488,295,409,500,456,395,"ENSMUSG00000000056","Narf","nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]"
292,263,286,319,185,242,"ENSMUSG00000000058","Cav2","caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]"
5214,3856,3151,6510,6509,6766,"ENSMUSG00000000078","Klf6","Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]"
899,1002,925,1265,1381,1114,"ENSMUSG00000000085","Scmh1","sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]"
312,235,194,214,202,213,"ENSMUSG00000000088","Cox5a","cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]"
147,207,301,437,307,188,"ENSMUSG00000000126","Wnt9a","wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]"
573,434,500,583,678,677,"ENSMUSG00000000127","Fer","fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]"
2757,1918,2091,3102,3048,2826,"ENSMUSG00000000131","Xpo6","exportin 6 [Source:MGI Symbol;Acc:MGI:2429950]"
1525,1490,1267,1727,1741,1860,"ENSMUSG00000000134","Tfe3","transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511]"
25,16,15,30,22,23,"ENSMUSG00000000142","Axin2","axin 2 [Source:MGI Symbol;Acc:MGI:1270862]"
748,581,684,1089,762,790,"ENSMUSG00000000148","Brat1","BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679]"
93,116,142,190,231,127,"ENSMUSG00000000149","Gna12","guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]"
12,27,14,52,38,33,"ENSMUSG00000000154","Slc22a18","solute carrier family 22 (organic cation transporter), member 18 [Source:MGI Symbol;Acc:MGI:1336884]"
115,109,75,194,174,154,"ENSMUSG00000000167","Pih1d2","PIH1 domain containing 2 [Source:MGI Symbol;Acc:MGI:1919864]"
2096,1514,1478,2250,2090,1591,"ENSMUSG00000000168","Dlat","dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) [Source:MGI Symbol;Acc:MGI:2385311]"
2669,2290,2013,2968,2206,2072,"ENSMUSG00000000171","Sdhd","succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]"
9532,9271,8240,12769,12455,11463,"ENSMUSG00000000184","Ccnd2","cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]"
1493,1230,1296,1901,1360,1512,"ENSMUSG00000000194","Gpr107","G protein-coupled receptor 107 [Source:MGI Symbol;Acc:MGI:2139054]"
1908,1485,1947,2902,3320,3017,"ENSMUSG00000000197","Nalcn","sodium leak channel, non-selective [Source:MGI Symbol;Acc:MGI:2444306]"
26,12,13,24,35,33,"ENSMUSG00000000202","Btbd17","BTB (POZ) domain containing 17 [Source:MGI Symbol;Acc:MGI:1919264]"
2,14,7,141,329,29,"ENSMUSG00000000214","Th","tyrosine hydroxylase [Source:MGI Symbol;Acc:MGI:98735]"
213,49,62,109,92,71,"ENSMUSG00000000216","Scnn1g","sodium channel, nonvoltage-gated 1 gamma [Source:MGI Symbol;Acc:MGI:104695]"
47,26,36,54,123,53,"ENSMUSG00000000223","Drp2","dystrophin related protein 2 [Source:MGI Symbol;Acc:MGI:107432]"
287,353,328,593,488,399,"ENSMUSG00000000253","Gmpr","guanosine monophosphate reductase [Source:MGI Symbol;Acc:MGI:1913605]"
299,205,416,266,457,253,"ENSMUSG00000000266","Mid2","midline 2 [Source:MGI Symbol;Acc:MGI:1344333]"
320,283,354,441,382,445,"ENSMUSG00000000275","Trim25","tripartite motif-containing 25 [Source:MGI Symbol;Acc:MGI:102749]"
555,331,373,979,514,688,"ENSMUSG00000000276","Dgke","diacylglycerol kinase, epsilon [Source:MGI Symbol;Acc:MGI:1889276]"
2323,2473,1837,1835,1270,1325,"ENSMUSG00000000278","Scpep1","serine carboxypeptidase 1 [Source:MGI Symbol;Acc:MGI:1921867]"
149,149,137,123,210,160,"ENSMUSG00000000282","Mnt","max binding protein [Source:MGI Symbol;Acc:MGI:109150]"
112,49,69,43,28,26,"ENSMUSG00000000290","Itgb2","integrin beta 2 [Source:MGI Symbol;Acc:MGI:96611]"
239,141,135,300,160,212,"ENSMUSG00000000295","Hddc2","HD domain containing 2 [Source:MGI Symbol;Acc:MGI:1916942]"
98,65,54,111,95,105,"ENSMUSG00000000296","Tpd52l1","tumor protein D52-like 1 [Source:MGI Symbol;Acc:MGI:1298386]"
473,238,252,246,171,182,"ENSMUSG00000000301","Pemt","phosphatidylethanolamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:104535]"
69,143,41,337,188,238,"ENSMUSG00000000303","Cdh1","cadherin 1 [Source:MGI Symbol;Acc:MGI:88354]"
65,30,76,121,138,95,"ENSMUSG00000000305","Cdh4","cadherin 4 [Source:MGI Symbol;Acc:MGI:99218]"
1257,1490,1144,1555,1466,1183,"ENSMUSG00000000308","Ckmt1","creatine kinase, mitochondrial 1, ubiquitous [Source:MGI Symbol;Acc:MGI:99441]"
91,50,30,62,65,49,"ENSMUSG00000000317","Bcl6b","B cell CLL/lymphoma 6, member B [Source:MGI Symbol;Acc:MGI:1278332]"
20,9,7,52,39,31,"ENSMUSG00000000320","Alox12","arachidonate 12-lipoxygenase [Source:MGI Symbol;Acc:MGI:87998]"
776,781,785,1556,1418,1199,"ENSMUSG00000000325","Arvcf","armadillo repeat gene deleted in velocardiofacial syndrome [Source:MGI Symbol;Acc:MGI:109620]"
2667,2265,2158,2556,2189,1971,"ENSMUSG00000000326","Comt","catechol-O-methyltransferase [Source:MGI Symbol;Acc:MGI:88470]"
